Administrative Counties,Female,Male,female_minus_male
Carlow County Council,5338,5044,294
Cavan County Council,6922,6513,409
Clare County Council,10470,9488,982
Cork City Council,19208,18488,720
Cork County Council,31479,28906,2573
Donegal County Council,13256,12213,1043
Dublin City Council,52363,53401,-1038
D̼n Laoghaire Rathdown County Council,19431,17888,1543
Fingal County Council,32930,30323,2607
Galway City Council,7427,7093,334
Galway County Council,16524,15216,1308
Kerry County Council,12884,11827,1057
Kildare County Council,23188,21741,1447
Kilkenny County Council,8675,8112,563
Laois County Council,8466,8025,441
Leitrim County Council,2803,2658,145
Limerick City & County Council,17584,16860,724
Longford County Council,4080,3845,235
Louth County Council,12205,10950,1255
Mayo  County Council,10910,10147,763
Meath County Council,20378,18768,1610
Monaghan County Council,5391,5211,180
Offaly County Council,6973,6531,442
Roscommon County Council,5634,5282,352
Sligo County Council,5656,5289,367
South Dublin County Council,28508,26441,2067
Tipperary County Council,13567,12643,924
Waterford City & County Council,10735,9903,832
Westmeath County Council,8305,7835,470
Wexford County Council,13774,12308,1466
Wicklow County Council,14062,12534,1528
